# x, z, spin
0001, 0001, 0001
0002, 0001, 0001
0003, 0001, 0001
0004, 0001, 0001
0005, 0001, 0001
0006, 0001, 0001
0007, 0001, 0001
0008, 0001, -0001
0009, 0001, -0001
0010, 0001, 0001
0011, 0001, 0001
0012, 0001, 0001
0013, 0001, 0001
0014, 0001, 0001
0015, 0001, 0001
0016, 0001, 0001
0017, 0001, 0001
0018, 0001, 0001
0019, 0001, 0001
0020, 0001, 0001

0001, 0002, 0001
0002, 0002, -0001
0003, 0002, 0001
0004, 0002, 0001
0005, 0002, 0001
0006, 0002, 0001
0007, 0002, -0001
0008, 0002, -0001
0009, 0002, -0001
0010, 0002, -0001
0011, 0002, -0001
0012, 0002, 0001
0013, 0002, 0001
0014, 0002, 0001
0015, 0002, 0001
0016, 0002, 0001
0017, 0002, 0001
0018, 0002, 0001
0019, 0002, 0001
0020, 0002, 0001

0001, 0003, -0001
0002, 0003, -0001
0003, 0003, -0001
0004, 0003, -0001
0005, 0003, -0001
0006, 0003, -0001
0007, 0003, -0001
0008, 0003, -0001
0009, 0003, -0001
0010, 0003, -0001
0011, 0003, -0001
0012, 0003, 0001
0013, 0003, 0001
0014, 0003, 0001
0015, 0003, -0001
0016, 0003, -0001
0017, 0003, 0001
0018, 0003, 0001
0019, 0003, 0001
0020, 0003, 0001

0001, 0004, -0001
0002, 0004, -0001
0003, 0004, -0001
0004, 0004, -0001
0005, 0004, -0001
0006, 0004, -0001
0007, 0004, -0001
0008, 0004, -0001
0009, 0004, -0001
0010, 0004, -0001
0011, 0004, -0001
0012, 0004, 0001
0013, 0004, 0001
0014, 0004, 0001
0015, 0004, 0001
0016, 0004, 0001
0017, 0004, 0001
0018, 0004, 0001
0019, 0004, 0001
0020, 0004, -0001

0001, 0005, -0001
0002, 0005, 0001
0003, 0005, 0001
0004, 0005, 0001
0005, 0005, -0001
0006, 0005, -0001
0007, 0005, -0001
0008, 0005, -0001
0009, 0005, -0001
0010, 0005, 0001
0011, 0005, 0001
0012, 0005, 0001
0013, 0005, 0001
0014, 0005, -0001
0015, 0005, 0001
0016, 0005, 0001
0017, 0005, 0001
0018, 0005, 0001
0019, 0005, 0001
0020, 0005, -0001

0001, 0006, -0001
0002, 0006, 0001
0003, 0006, 0001
0004, 0006, 0001
0005, 0006, 0001
0006, 0006, -0001
0007, 0006, -0001
0008, 0006, -0001
0009, 0006, 0001
0010, 0006, 0001
0011, 0006, 0001
0012, 0006, 0001
0013, 0006, 0001
0014, 0006, 0001
0015, 0006, 0001
0016, 0006, -0001
0017, 0006, -0001
0018, 0006, 0001
0019, 0006, -0001
0020, 0006, -0001

0001, 0007, -0001
0002, 0007, 0001
0003, 0007, -0001
0004, 0007, 0001
0005, 0007, 0001
0006, 0007, 0001
0007, 0007, 0001
0008, 0007, -0001
0009, 0007, 0001
0010, 0007, 0001
0011, 0007, 0001
0012, 0007, 0001
0013, 0007, 0001
0014, 0007, 0001
0015, 0007, 0001
0016, 0007, 0001
0017, 0007, -0001
0018, 0007, 0001
0019, 0007, -0001
0020, 0007, -0001

0001, 0008, 0001
0002, 0008, 0001
0003, 0008, 0001
0004, 0008, -0001
0005, 0008, -0001
0006, 0008, -0001
0007, 0008, -0001
0008, 0008, 0001
0009, 0008, 0001
0010, 0008, -0001
0011, 0008, 0001
0012, 0008, 0001
0013, 0008, 0001
0014, 0008, 0001
0015, 0008, 0001
0016, 0008, 0001
0017, 0008, -0001
0018, 0008, -0001
0019, 0008, -0001
0020, 0008, 0001

0001, 0009, 0001
0002, 0009, 0001
0003, 0009, -0001
0004, 0009, -0001
0005, 0009, -0001
0006, 0009, 0001
0007, 0009, 0001
0008, 0009, -0001
0009, 0009, -0001
0010, 0009, 0001
0011, 0009, 0001
0012, 0009, 0001
0013, 0009, 0001
0014, 0009, 0001
0015, 0009, -0001
0016, 0009, 0001
0017, 0009, -0001
0018, 0009, -0001
0019, 0009, 0001
0020, 0009, -0001

0001, 0010, 0001
0002, 0010, 0001
0003, 0010, -0001
0004, 0010, -0001
0005, 0010, -0001
0006, 0010, -0001
0007, 0010, 0001
0008, 0010, -0001
0009, 0010, -0001
0010, 0010, -0001
0011, 0010, -0001
0012, 0010, -0001
0013, 0010, -0001
0014, 0010, 0001
0015, 0010, 0001
0016, 0010, 0001
0017, 0010, -0001
0018, 0010, -0001
0019, 0010, 0001
0020, 0010, 0001

0001, 0011, 0001
0002, 0011, 0001
0003, 0011, 0001
0004, 0011, -0001
0005, 0011, -0001
0006, 0011, -0001
0007, 0011, -0001
0008, 0011, -0001
0009, 0011, -0001
0010, 0011, 0001
0011, 0011, 0001
0012, 0011, -0001
0013, 0011, -0001
0014, 0011, -0001
0015, 0011, 0001
0016, 0011, -0001
0017, 0011, -0001
0018, 0011, 0001
0019, 0011, 0001
0020, 0011, -0001

0001, 0012, 0001
0002, 0012, 0001
0003, 0012, 0001
0004, 0012, -0001
0005, 0012, -0001
0006, 0012, -0001
0007, 0012, -0001
0008, 0012, -0001
0009, 0012, -0001
0010, 0012, 0001
0011, 0012, 0001
0012, 0012, -0001
0013, 0012, -0001
0014, 0012, -0001
0015, 0012, -0001
0016, 0012, -0001
0017, 0012, -0001
0018, 0012, 0001
0019, 0012, 0001
0020, 0012, 0001

0001, 0013, 0001
0002, 0013, -0001
0003, 0013, 0001
0004, 0013, 0001
0005, 0013, -0001
0006, 0013, -0001
0007, 0013, -0001
0008, 0013, -0001
0009, 0013, -0001
0010, 0013, -0001
0011, 0013, -0001
0012, 0013, -0001
0013, 0013, -0001
0014, 0013, -0001
0015, 0013, -0001
0016, 0013, -0001
0017, 0013, 0001
0018, 0013, 0001
0019, 0013, 0001
0020, 0013, 0001

0001, 0014, 0001
0002, 0014, -0001
0003, 0014, 0001
0004, 0014, -0001
0005, 0014, -0001
0006, 0014, -0001
0007, 0014, 0001
0008, 0014, 0001
0009, 0014, 0001
0010, 0014, -0001
0011, 0014, -0001
0012, 0014, -0001
0013, 0014, -0001
0014, 0014, 0001
0015, 0014, -0001
0016, 0014, -0001
0017, 0014, 0001
0018, 0014, 0001
0019, 0014, 0001
0020, 0014, -0001

0001, 0015, -0001
0002, 0015, -0001
0003, 0015, 0001
0004, 0015, -0001
0005, 0015, -0001
0006, 0015, -0001
0007, 0015, -0001
0008, 0015, -0001
0009, 0015, -0001
0010, 0015, -0001
0011, 0015, -0001
0012, 0015, -0001
0013, 0015, -0001
0014, 0015, -0001
0015, 0015, -0001
0016, 0015, -0001
0017, 0015, 0001
0018, 0015, 0001
0019, 0015, -0001
0020, 0015, -0001

0001, 0016, 0001
0002, 0016, 0001
0003, 0016, 0001
0004, 0016, -0001
0005, 0016, -0001
0006, 0016, -0001
0007, 0016, -0001
0008, 0016, -0001
0009, 0016, -0001
0010, 0016, -0001
0011, 0016, -0001
0012, 0016, -0001
0013, 0016, -0001
0014, 0016, -0001
0015, 0016, 0001
0016, 0016, 0001
0017, 0016, 0001
0018, 0016, 0001
0019, 0016, 0001
0020, 0016, 0001

0001, 0017, 0001
0002, 0017, 0001
0003, 0017, 0001
0004, 0017, -0001
0005, 0017, -0001
0006, 0017, -0001
0007, 0017, -0001
0008, 0017, -0001
0009, 0017, -0001
0010, 0017, -0001
0011, 0017, -0001
0012, 0017, -0001
0013, 0017, 0001
0014, 0017, 0001
0015, 0017, 0001
0016, 0017, 0001
0017, 0017, 0001
0018, 0017, 0001
0019, 0017, 0001
0020, 0017, 0001

0001, 0018, 0001
0002, 0018, 0001
0003, 0018, -0001
0004, 0018, 0001
0005, 0018, 0001
0006, 0018, -0001
0007, 0018, -0001
0008, 0018, -0001
0009, 0018, -0001
0010, 0018, -0001
0011, 0018, -0001
0012, 0018, -0001
0013, 0018, 0001
0014, 0018, 0001
0015, 0018, 0001
0016, 0018, 0001
0017, 0018, 0001
0018, 0018, 0001
0019, 0018, 0001
0020, 0018, 0001

0001, 0019, 0001
0002, 0019, 0001
0003, 0019, 0001
0004, 0019, 0001
0005, 0019, -0001
0006, 0019, -0001
0007, 0019, -0001
0008, 0019, -0001
0009, 0019, 0001
0010, 0019, -0001
0011, 0019, -0001
0012, 0019, 0001
0013, 0019, 0001
0014, 0019, 0001
0015, 0019, -0001
0016, 0019, -0001
0017, 0019, -0001
0018, 0019, 0001
0019, 0019, 0001
0020, 0019, 0001

0001, 0020, 0001
0002, 0020, 0001
0003, 0020, 0001
0004, 0020, 0001
0005, 0020, -0001
0006, 0020, -0001
0007, 0020, -0001
0008, 0020, -0001
0009, 0020, -0001
0010, 0020, -0001
0011, 0020, -0001
0012, 0020, 0001
0013, 0020, -0001
0014, 0020, -0001
0015, 0020, -0001
0016, 0020, -0001
0017, 0020, -0001
0018, 0020, 0001
0019, 0020, 0001
0020, 0020, 0001

